expiry,instrument_key,trading_symbol,strike,option_type,lot_size,tick_size,underlying_key,weekly
2026-08-11,NSE_FO|40929|11-08-2026,NIFTY 22500 CE 11 AUG 26,22500.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40930|11-08-2026,NIFTY 22500 PE 11 AUG 26,22500.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40931|11-08-2026,NIFTY 22550 CE 11 AUG 26,22550.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40932|11-08-2026,NIFTY 22550 PE 11 AUG 26,22550.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40933|11-08-2026,NIFTY 22600 CE 11 AUG 26,22600.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40934|11-08-2026,NIFTY 22600 PE 11 AUG 26,22600.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40935|11-08-2026,NIFTY 22650 CE 11 AUG 26,22650.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40936|11-08-2026,NIFTY 22650 PE 11 AUG 26,22650.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40937|11-08-2026,NIFTY 22700 CE 11 AUG 26,22700.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40938|11-08-2026,NIFTY 22700 PE 11 AUG 26,22700.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40939|11-08-2026,NIFTY 22750 CE 11 AUG 26,22750.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40940|11-08-2026,NIFTY 22750 PE 11 AUG 26,22750.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40941|11-08-2026,NIFTY 22800 CE 11 AUG 26,22800.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40942|11-08-2026,NIFTY 22800 PE 11 AUG 26,22800.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40943|11-08-2026,NIFTY 22850 CE 11 AUG 26,22850.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40944|11-08-2026,NIFTY 22850 PE 11 AUG 26,22850.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40945|11-08-2026,NIFTY 22900 CE 11 AUG 26,22900.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40946|11-08-2026,NIFTY 22900 PE 11 AUG 26,22900.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40947|11-08-2026,NIFTY 22950 CE 11 AUG 26,22950.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40948|11-08-2026,NIFTY 22950 PE 11 AUG 26,22950.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40949|11-08-2026,NIFTY 23000 CE 11 AUG 26,23000.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40950|11-08-2026,NIFTY 23000 PE 11 AUG 26,23000.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40951|11-08-2026,NIFTY 23050 CE 11 AUG 26,23050.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40952|11-08-2026,NIFTY 23050 PE 11 AUG 26,23050.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40953|11-08-2026,NIFTY 23100 CE 11 AUG 26,23100.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40954|11-08-2026,NIFTY 23100 PE 11 AUG 26,23100.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40955|11-08-2026,NIFTY 23150 CE 11 AUG 26,23150.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40956|11-08-2026,NIFTY 23150 PE 11 AUG 26,23150.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40957|11-08-2026,NIFTY 23200 CE 11 AUG 26,23200.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40958|11-08-2026,NIFTY 23200 PE 11 AUG 26,23200.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40959|11-08-2026,NIFTY 23250 CE 11 AUG 26,23250.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40960|11-08-2026,NIFTY 23250 PE 11 AUG 26,23250.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40961|11-08-2026,NIFTY 23300 CE 11 AUG 26,23300.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40962|11-08-2026,NIFTY 23300 PE 11 AUG 26,23300.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40963|11-08-2026,NIFTY 23350 CE 11 AUG 26,23350.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40964|11-08-2026,NIFTY 23350 PE 11 AUG 26,23350.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40965|11-08-2026,NIFTY 23400 CE 11 AUG 26,23400.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40966|11-08-2026,NIFTY 23400 PE 11 AUG 26,23400.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40967|11-08-2026,NIFTY 23450 CE 11 AUG 26,23450.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40968|11-08-2026,NIFTY 23450 PE 11 AUG 26,23450.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40969|11-08-2026,NIFTY 23500 CE 11 AUG 26,23500.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40970|11-08-2026,NIFTY 23500 PE 11 AUG 26,23500.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40971|11-08-2026,NIFTY 23550 CE 11 AUG 26,23550.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40972|11-08-2026,NIFTY 23550 PE 11 AUG 26,23550.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40973|11-08-2026,NIFTY 23600 CE 11 AUG 26,23600.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40974|11-08-2026,NIFTY 23600 PE 11 AUG 26,23600.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40975|11-08-2026,NIFTY 23650 CE 11 AUG 26,23650.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40976|11-08-2026,NIFTY 23650 PE 11 AUG 26,23650.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40977|11-08-2026,NIFTY 23700 CE 11 AUG 26,23700.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40978|11-08-2026,NIFTY 23700 PE 11 AUG 26,23700.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40979|11-08-2026,NIFTY 23750 CE 11 AUG 26,23750.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40982|11-08-2026,NIFTY 23750 PE 11 AUG 26,23750.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40983|11-08-2026,NIFTY 23800 CE 11 AUG 26,23800.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40984|11-08-2026,NIFTY 23800 PE 11 AUG 26,23800.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40985|11-08-2026,NIFTY 23850 CE 11 AUG 26,23850.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40986|11-08-2026,NIFTY 23850 PE 11 AUG 26,23850.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40987|11-08-2026,NIFTY 23900 CE 11 AUG 26,23900.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40988|11-08-2026,NIFTY 23900 PE 11 AUG 26,23900.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40989|11-08-2026,NIFTY 23950 CE 11 AUG 26,23950.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40990|11-08-2026,NIFTY 23950 PE 11 AUG 26,23950.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40991|11-08-2026,NIFTY 24000 CE 11 AUG 26,24000.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40992|11-08-2026,NIFTY 24000 PE 11 AUG 26,24000.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40993|11-08-2026,NIFTY 24050 CE 11 AUG 26,24050.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40994|11-08-2026,NIFTY 24050 PE 11 AUG 26,24050.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40995|11-08-2026,NIFTY 24100 CE 11 AUG 26,24100.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40996|11-08-2026,NIFTY 24100 PE 11 AUG 26,24100.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40997|11-08-2026,NIFTY 24150 CE 11 AUG 26,24150.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|40998|11-08-2026,NIFTY 24150 PE 11 AUG 26,24150.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
