timestamp,open,high,low,close,volume,oi
2026-08-11 09:15:00+05:30,188.05,188.3,136.85,138.35,2794415,1869595
2026-08-11 09:20:00+05:30,138.35,140.9,128.85,133.0,2730650,2911025
2026-08-11 09:25:00+05:30,133.15,140.15,125.8,127.6,2427880,3474445
2026-08-11 09:30:00+05:30,127.1,132.0,124.25,127.75,2359175,4247685
2026-08-11 09:35:00+05:30,127.75,133.0,118.0,121.45,3182855,4593550
2026-08-11 09:40:00+05:30,121.4,123.15,109.05,119.7,3868865,5373810
2026-08-11 09:45:00+05:30,119.75,123.6,107.45,113.0,3878095,6166680
2026-08-11 09:50:00+05:30,112.75,115.6,106.0,108.5,2462200,6693700
2026-08-11 09:55:00+05:30,108.05,121.0,105.75,120.7,4080960,7083245
2026-08-11 10:00:00+05:30,120.6,123.0,113.4,118.0,4093310,7160985
2026-08-11 10:05:00+05:30,118.15,121.75,110.2,115.15,3239210,7192510
2026-08-11 10:10:00+05:30,115.15,118.8,110.5,110.5,2360475,7684430
2026-08-11 10:15:00+05:30,110.5,116.65,105.35,106.7,3361150,7997665
2026-08-11 10:20:00+05:30,106.95,111.45,103.35,108.6,3174665,8614125
2026-08-11 10:25:00+05:30,108.35,117.0,107.0,112.7,2659800,8724300
2026-08-11 10:30:00+05:30,112.75,118.0,110.75,114.6,1955070,8692255
2026-08-11 10:35:00+05:30,114.5,116.0,108.1,112.6,2231450,8840585
2026-08-11 10:40:00+05:30,112.55,113.35,106.4,107.25,1997840,8952190
2026-08-11 10:45:00+05:30,107.3,107.6,100.15,104.1,3561805,9159865
2026-08-11 10:50:00+05:30,103.85,109.0,103.55,107.3,2845635,9414405
2026-08-11 10:55:00+05:30,107.5,109.5,102.6,103.05,1523210,9515350
2026-08-11 11:00:00+05:30,103.05,103.55,89.0,91.3,6577025,9760075
2026-08-11 11:05:00+05:30,91.4,94.5,85.5,85.95,4165330,10354565
2026-08-11 11:10:00+05:30,86.0,90.4,83.5,89.45,5050370,11167910
2026-08-11 11:15:00+05:30,89.45,91.85,85.55,89.25,3684590,11347440
2026-08-11 11:20:00+05:30,89.05,89.6,84.8,86.25,2866695,12232545
2026-08-11 11:25:00+05:30,86.0,86.2,80.3,82.05,5337800,12785695
2026-08-11 11:30:00+05:30,82.15,82.85,77.65,82.0,5196360,13356525
2026-08-11 11:35:00+05:30,81.85,85.0,79.4,84.25,3857685,13494585
2026-08-11 11:40:00+05:30,84.25,87.8,83.05,85.1,3815305,13235690
2026-08-11 11:45:00+05:30,85.05,89.5,84.5,87.35,3435380,13080860
2026-08-11 11:50:00+05:30,87.3,89.3,80.45,81.3,3597165,12755340
2026-08-11 11:55:00+05:30,81.25,81.35,76.5,80.55,5422560,13613600
2026-08-11 12:00:00+05:30,80.3,81.6,70.4,72.7,7308405,14169675
2026-08-11 12:05:00+05:30,72.7,76.5,71.15,75.45,4906850,14912365
2026-08-11 12:10:00+05:30,75.25,84.9,75.2,77.55,7675850,13920205
2026-08-11 12:15:00+05:30,77.5,80.0,72.45,75.0,5250245,14528540
2026-08-11 12:20:00+05:30,75.0,76.55,70.6,72.25,3204500,15027285
2026-08-11 12:25:00+05:30,72.3,76.2,71.65,75.0,2994615,15066610
2026-08-11 12:30:00+05:30,75.2,79.5,74.55,79.05,3191175,14991535
2026-08-11 12:35:00+05:30,79.05,79.7,74.5,74.75,3341910,14958190
2026-08-11 12:40:00+05:30,74.85,82.2,74.05,80.9,5634850,15223845
2026-08-11 12:45:00+05:30,81.15,89.0,79.45,87.4,8342815,14509040
2026-08-11 12:50:00+05:30,87.4,88.7,76.75,77.5,5896215,14049490
2026-08-11 12:55:00+05:30,77.3,79.75,72.55,76.6,4673240,14441895
2026-08-11 13:00:00+05:30,76.55,87.8,74.55,86.75,7887490,14254370
2026-08-11 13:05:00+05:30,86.85,91.4,84.85,88.85,7628140,13869050
2026-08-11 13:10:00+05:30,88.6,90.6,79.55,82.35,5567770,13376545
2026-08-11 13:15:00+05:30,82.15,82.6,75.45,81.15,5669170,13839345
2026-08-11 13:20:00+05:30,81.0,85.0,77.0,84.25,3500120,13866515
2026-08-11 13:25:00+05:30,84.5,94.45,80.4,85.45,11645920,12629825
2026-08-11 13:30:00+05:30,85.7,93.0,83.0,89.45,6357910,12546560
2026-08-11 13:35:00+05:30,89.35,90.9,80.55,82.1,5147220,12505870
2026-08-11 13:40:00+05:30,81.95,86.95,81.3,84.6,4369755,12716145
2026-08-11 13:45:00+05:30,84.25,87.5,80.7,82.1,3378765,12756315
2026-08-11 13:50:00+05:30,82.3,84.8,77.6,79.0,4313465,12745330
2026-08-11 13:55:00+05:30,79.0,82.25,74.55,81.2,5799755,13359905
2026-08-11 14:00:00+05:30,81.2,82.45,76.15,77.9,4757155,14163760
2026-08-11 14:05:00+05:30,77.9,80.9,69.15,78.3,12258155,13656305
2026-08-11 14:10:00+05:30,78.3,84.3,76.2,81.55,5767515,12773150
2026-08-11 14:15:00+05:30,81.55,87.5,76.4,76.8,6744205,12542660
2026-08-11 14:20:00+05:30,76.95,80.65,73.2,75.2,5014490,12793300
2026-08-11 14:25:00+05:30,75.35,79.9,72.3,74.35,4511845,12804155
2026-08-11 14:30:00+05:30,74.5,76.4,67.3,71.0,6340230,13293475
2026-08-11 14:35:00+05:30,71.0,71.95,63.7,68.3,8228220,13444730
2026-08-11 14:40:00+05:30,68.45,71.7,67.25,70.45,4180215,12832560
2026-08-11 14:45:00+05:30,70.65,80.85,70.65,79.05,7862855,12159485
2026-08-11 14:50:00+05:30,79.05,85.45,76.55,83.95,6789315,11185785
2026-08-11 14:55:00+05:30,83.85,93.7,81.8,89.4,8975460,9812075
2026-08-11 15:00:00+05:30,89.6,103.25,87.15,95.85,12655305,9004190
2026-08-11 15:05:00+05:30,95.95,97.15,75.0,79.15,9741420,8976240
2026-08-11 15:10:00+05:30,79.1,92.0,75.0,82.45,7285590,8284055
2026-08-11 15:15:00+05:30,82.55,89.8,54.0,60.55,12886965,8522280
2026-08-11 15:20:00+05:30,60.5,87.55,42.9,69.65,19612580,7356765
2026-08-11 15:25:00+05:30,69.85,72.7,58.7,71.65,7701200,7110025
2026-08-11 15:30:00+05:30,71.6,71.95,71.4,71.55,3312205,6463600
2026-08-11 15:35:00+05:30,71.6,71.7,71.55,71.55,1099020,6341075
