timestamp,open,high,low,close,volume,open_interest,expiry,strike,option_type,instrument_key,trading_symbol,lot_size
2026-08-03 09:15:00+05:30,2.29,2.45,2.2,2.29,110695,1581580,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 09:20:00+05:30,2.25,2.35,2.2,2.2,107965,1591785,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 09:25:00+05:30,2.2,2.25,2.04,2.1,110760,1634100,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 09:30:00+05:30,2.1,2.2,2.04,2.04,83395,1649180,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 09:35:00+05:30,2.04,2.1,2.0,2.1,50570,1662765,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 09:40:00+05:30,2.15,2.15,2.04,2.1,74360,1669395,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 09:45:00+05:30,2.15,2.15,2.04,2.1,31915,1684605,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 09:50:00+05:30,2.04,2.15,2.04,2.1,13650,1677845,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 09:55:00+05:30,2.15,2.15,2.04,2.04,33345,1671995,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 10:00:00+05:30,2.04,2.15,2.04,2.15,12025,1676155,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 10:05:00+05:30,2.15,2.2,2.1,2.1,42510,1654640,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 10:10:00+05:30,2.1,2.15,2.1,2.15,16120,1663805,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 10:15:00+05:30,2.15,2.15,2.1,2.15,20475,1674920,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 10:20:00+05:30,2.15,2.15,2.15,2.15,12350,1677390,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 10:25:00+05:30,2.15,2.15,2.1,2.15,8125,1678365,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 10:30:00+05:30,2.15,2.2,2.1,2.2,50245,1684345,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 10:35:00+05:30,2.2,2.25,2.2,2.25,21645,1698580,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 10:40:00+05:30,2.25,2.29,2.25,2.25,22555,1715675,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 10:45:00+05:30,2.25,2.29,2.25,2.25,7475,1720355,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 10:50:00+05:30,2.25,2.29,2.2,2.2,6370,1726660,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 10:55:00+05:30,2.25,2.25,2.2,2.25,2600,1726595,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 11:00:00+05:30,2.25,2.25,2.2,2.2,5395,1723215,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 11:05:00+05:30,2.25,2.29,2.2,2.29,17420,1724125,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 11:10:00+05:30,2.25,2.29,2.25,2.29,4680,1725165,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 11:15:00+05:30,2.29,2.29,2.25,2.29,7865,1728480,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 11:20:00+05:30,2.29,2.29,2.25,2.25,6955,1728870,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 11:25:00+05:30,2.29,2.29,2.2,2.2,2860,1730755,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 11:30:00+05:30,2.2,2.25,2.2,2.2,715,1730755,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 11:35:00+05:30,2.25,2.25,2.15,2.2,6175,1732120,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 11:40:00+05:30,2.2,2.2,2.2,2.2,0,1732120,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 11:45:00+05:30,2.25,2.25,2.25,2.25,2080,1732770,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 11:50:00+05:30,2.25,2.25,2.2,2.25,4615,1735825,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 11:55:00+05:30,2.25,2.25,2.25,2.25,455,1737385,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 12:00:00+05:30,2.2,2.2,2.2,2.2,3705,1739400,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 12:05:00+05:30,2.2,2.2,2.15,2.2,520,1739920,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 12:10:00+05:30,2.2,2.2,2.2,2.2,260,1739920,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 12:15:00+05:30,2.2,2.25,2.2,2.25,5460,1740245,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 12:20:00+05:30,2.25,2.25,2.2,2.2,650,1739725,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 12:25:00+05:30,2.2,2.25,2.2,2.25,5005,1739790,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 12:30:00+05:30,2.2,2.2,2.2,2.2,6760,1741610,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 12:35:00+05:30,2.2,2.2,2.2,2.2,0,1741610,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 12:40:00+05:30,2.2,2.2,2.2,2.2,3185,1741610,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 12:45:00+05:30,2.2,2.29,2.2,2.25,13065,1748305,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 12:50:00+05:30,2.2,2.2,2.15,2.15,54080,1769560,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 12:55:00+05:30,2.2,2.2,2.1,2.1,21190,1776970,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 13:00:00+05:30,2.15,2.15,2.04,2.04,12025,1780935,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 13:05:00+05:30,2.1,2.1,2.0,2.0,7670,1781065,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 13:10:00+05:30,2.0,2.0,2.0,2.0,975,1781065,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 13:15:00+05:30,2.0,2.0,2.0,2.0,2405,1781715,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 13:20:00+05:30,2.0,2.0,1.95,1.95,1625,1781975,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 13:25:00+05:30,1.95,2.0,1.95,2.0,65,1781650,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 13:30:00+05:30,2.0,2.0,1.95,1.95,585,1781585,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 13:35:00+05:30,1.95,2.0,1.95,2.0,1950,1780935,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 13:40:00+05:30,2.0,2.04,2.0,2.0,8320,1777555,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 13:45:00+05:30,2.04,2.1,2.04,2.04,13585,1780220,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 13:50:00+05:30,2.1,2.1,2.04,2.04,845,1779635,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 13:55:00+05:30,2.04,2.04,2.04,2.04,0,1779635,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 14:00:00+05:30,2.04,2.04,2.04,2.04,390,1779700,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 14:05:00+05:30,2.1,2.1,2.04,2.04,11830,1779505,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 14:10:00+05:30,2.1,2.29,2.04,2.29,64805,1790750,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 14:15:00+05:30,2.29,2.35,2.2,2.29,45955,1817660,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 14:20:00+05:30,2.29,2.35,2.29,2.29,24570,1836510,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 14:25:00+05:30,2.29,2.29,2.2,2.2,9165,1837810,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 14:30:00+05:30,2.2,2.25,2.2,2.25,34190,1851915,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 14:35:00+05:30,2.25,2.29,2.25,2.25,22685,1867710,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 14:40:00+05:30,2.25,2.29,2.15,2.15,30290,1879800,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 14:45:00+05:30,2.15,2.15,2.1,2.15,38610,1891890,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 14:50:00+05:30,2.1,2.29,2.1,2.2,54665,1910480,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 14:55:00+05:30,2.2,2.25,2.1,2.1,53690,1946100,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 15:00:00+05:30,2.15,2.15,1.85,1.9,76895,1976975,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 15:05:00+05:30,1.9,1.95,1.75,1.95,130065,2048150,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 15:10:00+05:30,1.95,1.95,1.9,1.9,67015,2081820,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 15:15:00+05:30,1.95,1.95,1.85,1.95,74295,2138110,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 15:20:00+05:30,1.95,2.0,1.95,2.0,38350,2168595,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 15:25:00+05:30,2.0,2.2,2.0,2.04,51740,2172755,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 15:30:00+05:30,2.0,2.15,2.0,2.0,28925,2190305,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-03 15:35:00+05:30,2.0,2.15,2.0,2.15,15210,2190825,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
