timestamp,strike,ce_ltp,ce_volume,ce_oi,pe_ltp,pe_volume,pe_oi,expiry
2026-08-11 09:35:00+05:30,21600.0,,,,0.1,59085.0,2421185.0,2026-08-11
2026-08-11 09:35:00+05:30,24400.0,121.45,3182855.0,4593550.0,,,,2026-08-11
