timestamp,open,high,low,close,volume,open_interest,expiry,strike,option_type,instrument_key,trading_symbol,lot_size,oi
2026-08-11 09:40:00+05:30,0.1,0.15,0.1,0.1,13260,2417675.0,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65.0,
2026-08-11 09:40:00+05:30,121.4,123.15,109.05,119.7,3868865,,,24400.0,CE,,,,5373810.0
