timestamp,strike,ce_ltp,ce_volume,ce_oi,pe_ltp,pe_volume,pe_oi,expiry
2026-08-11 14:55:00+05:30,21600.0,,,,0.05,585.0,1427530.0,2026-08-11
2026-08-11 14:55:00+05:30,24400.0,89.4,8975460.0,9812075.0,,,,2026-08-11
