timestamp,open,high,low,close,volume,open_interest,expiry,strike,option_type,instrument_key,trading_symbol,lot_size,oi
2026-08-11 10:15:00+05:30,0.1,0.15,0.1,0.15,108485,2340975.0,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65.0,
2026-08-11 10:15:00+05:30,110.5,116.65,105.35,106.7,3361150,,,24400.0,CE,,,,7997665.0
