fetch_time,expiry,strike,spot_price,pcr,ce_instrument_key,ce_ltp,ce_volume,ce_oi,ce_prev_oi,ce_oi_change,ce_close,ce_bid,ce_bid_qty,ce_ask,ce_ask_qty,ce_iv,ce_delta,ce_gamma,ce_theta,ce_vega,ce_pop,pe_instrument_key,pe_ltp,pe_volume,pe_oi,pe_prev_oi,pe_oi_change,pe_close,pe_bid,pe_bid_qty,pe_ask,pe_ask_qty,pe_iv,pe_delta,pe_gamma,pe_theta,pe_vega,pe_pop
2026-08-23 21:57:18,2026-09-01,23000.0,24252.0,43.9019,NSE_FO|46945,1310.6,20280,24505.0,6695.0,17810.0,1353.6,1306.35,65,1315.65,65,19.38,0.9498,0.0001,-3.8418,4.3587,48.48,NSE_FO|46946,4.6,1923480,1075815.0,800865.0,274950.0,5.35,4.3,10075,4.85,1170,15.32,-0.0192,0.0001,-1.3732,1.9707,2.01
2026-08-23 21:57:18,2026-09-01,23050.0,24252.0,465.0,NSE_FO|46947,1109.4,0,65.0,0.0,65.0,1109.4,1104.75,780,1433.4,780,0.0,1.0,0.0,0.0,0.0,99.0,NSE_FO|46948,5.0,45890,30225.0,26845.0,3380.0,5.65,3.7,650,5.0,260,15.01,-0.0212,0.0001,-1.4662,2.147,2.21
2026-08-23 21:57:18,2026-09-01,23100.0,24252.0,4586.0,NSE_FO|46949,1210.0,130,65.0,65.0,0.0,1140.0,1197.2,260,1357.6,130,18.02,0.948,0.0001,-3.6752,4.4839,48.5,NSE_FO|46950,4.25,736450,298090.0,235690.0,62400.0,5.8,4.25,260,5.0,650,14.1,-0.0192,0.0001,-1.2644,1.9717,2.0
2026-08-23 21:57:18,2026-09-01,23150.0,24252.0,276.8,NSE_FO|46951,1180.0,0,325.0,325.0,0.0,1180.0,1005.35,780,1329.85,780,21.16,0.908,0.0002,-6.6984,6.9587,47.54,NSE_FO|46952,4.15,152100,89960.0,42185.0,47775.0,6.0,3.9,650,5.4,520,13.55,-0.0198,0.0001,-1.2467,2.0229,2.06
2026-08-23 21:57:18,2026-09-01,23200.0,24252.0,79.8735,NSE_FO|46953,1110.0,1105,10790.0,10205.0,585.0,1108.45,1066.7,780,1149.05,780,16.78,0.9447,0.0002,-3.5971,4.7118,48.47,NSE_FO|46954,4.6,1695395,861835.0,378755.0,483080.0,6.4,4.6,29965,5.1,1300,13.24,-0.0222,0.0001,-1.3408,2.2258,2.29
2026-08-23 21:57:18,2026-09-01,23250.0,24252.0,,NSE_FO|46955,0.0,0,0.0,0.0,0.0,1259.15,916.85,780,1226.75,780,0.0,1.0,0.0,0.0,0.0,99.0,NSE_FO|46956,4.3,455130,145925.0,158340.0,-12415.0,7.0,4.2,195,5.2,65,12.57,-0.0216,0.0001,-1.2443,2.1759,2.23
2026-08-23 21:57:18,2026-09-01,23300.0,24252.0,1445.8,NSE_FO|46957,1006.65,325,325.0,195.0,130.0,1032.2,1007.15,130,1018.55,130,14.82,0.9491,0.0002,-2.9716,4.4096,48.63,NSE_FO|46958,5.0,1438905,469885.0,433680.0,36205.0,7.25,4.95,520,5.6,390,12.36,-0.0252,0.0001,-1.3936,2.4791,2.59
2026-08-23 21:57:18,2026-09-01,23350.0,24252.0,1451.0,NSE_FO|46959,960.1,130,65.0,65.0,0.0,925.85,954.0,65,1093.4,65,14.92,0.9385,0.0002,-3.4769,5.1225,48.41,NSE_FO|46960,5.4,280280,94315.0,25350.0,68965.0,8.05,5.3,780,6.45,520,11.99,-0.0281,0.0001,-1.4832,2.719,2.87
2026-08-23 21:57:18,2026-09-01,23400.0,24252.0,49.9245,NSE_FO|46961,918.55,1560,13780.0,13520.0,260.0,930.0,909.15,195,918.2,65,15.73,0.9171,0.0002,-4.6073,6.439,47.93,NSE_FO|46962,6.25,1651520,687960.0,540540.0,147420.0,8.65,6.25,7995,6.55,1105,11.72,-0.032,0.0001,-1.613,3.0262,3.25
2026-08-23 21:57:18,2026-09-01,23450.0,24252.0,5511.0,NSE_FO|46963,700.25,0,65.0,1040.0,-975.0,700.25,714.7,65,998.85,65,0.0,1.0,0.0,0.0,0.0,99.0,NSE_FO|46964,7.05,790010,358215.0,129740.0,228475.0,9.65,7.05,65,7.45,130,11.41,-0.0365,0.0002,-1.7486,3.3684,3.68
